;category;title;description;price;level;img_alt;img_url;product_quantity;product_details;img_src
191;IT I OPROGRAMOWANIE;Kurs Microsoft Windows Server dla początkujących;Praktyczny poradnik dla każdego administratora Windows Server. Opanuj od podstaw wszystko czego potrzebujesz do sprawnego zarządzania serwerami.;79;Podstawowy;Kurs Microsoft Windows Server dla początkujących;;1000;24 materiałów treningowych i 40 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_microsoft_windows_server_dla_poczatkujacych.jpg
192;IT I OPROGRAMOWANIE;Kurs Nginx - wydajne serwery od podstaw;Dowiedz się jak zbudować wydajny i bezpieczny serwer. Opanuj instalację, konfigurację oraz administrację serwera nginx.;69;Podstawowy;Kurs Nginx - wydajne serwery od podstaw;;1000;20 materiałów treningowych i 31 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_nginx_-_wydajne_serwery_od_podstaw.jpg
193;IT I OPROGRAMOWANIE;Kurs MacOS dla początkujących;Naucz się sprawnie poruszać po systemie MacOS i korzystać z najważniejszych aplikacji. Poznaj prawdziwy potencjał swojego urządzenia, popraw komfort swojej pracy i zwiększ jej wydajność!;29;Podstawowy;Kurs MacOS dla początkujących;;1000;24 materiałów treningowych i 24 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_macos_dla_poczatkujacych.jpg
194;IT I OPROGRAMOWANIE;Kurs Organizacja pracy i zarządzanie zadaniami z Trello;Zacznij efektywnie zarządzać swoimi zadaniami i projektami dzięki Trello. Zwiększ produktywność swojego zespołu dzięki lepszej organizacji pracy i komunikacji.;39;Podstawowy;Kurs Organizacja pracy i zarządzanie zadaniami z Trello;;1000;15 materiałów treningowych i 31 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_organizacja_pracy_i_zarzadzanie_zadaniami_z_trello.jpg
195;IT I OPROGRAMOWANIE;Kurs E-learning z Moodle - platforma szkoleniowa od podstaw;Dowiedz się jak prowadzić nauczanie zdalne wykorzystując platformę e-learningowa Moodle. Przygotuj własny kurs online, zarządzaj jego uczestnikami i harmonogramem zajęć. ;30;Podstawowy;Kurs E-learning z Moodle - platforma szkoleniowa od podstaw;;1000;20 materiałów treningowych i 49 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/e-learning_z_moodle_-_platforma_szkoleniowa_od_podstaw.jpg
196;IT I OPROGRAMOWANIE;Kurs Microsoft Azure od podstaw;Poznaj olbrzymie możliwości Microsoft Azure, jednej z najlepszych chmur obliczeniowych na rynku. Dowiedz się jak działają jej usługi, naucz się nimi zarządzać i wykorzystywać w praktyce!;69;Podstawowy;Kurs Microsoft Azure od podstaw;;1000;35 materiałów treningowych i 40 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_microsoft_azure_od_podstaw.jpg
197;IT I OPROGRAMOWANIE;Kurs Excel dla księgowych;Dowiedz się jak efektywnie wykorzystywać program Microsoft Excel podczas pracy w księgowości. Poznaj przydatne funkcje, narzędzia i triki, które usprawnią Twoje codzienne zadania.;69;Średniozaawansowany;Kurs Excel dla księgowych;;1000;20 materiałów treningowych i 26 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/excel_dla_ksiegowych.jpg
198;IT I OPROGRAMOWANIE;Kurs Excel - wykresy i wizualizacja danych;Naucz się prezentować dane w Excelu w czytelny i zrozumiały sposób. Dowiedz się jak tworzyć i formatować wykresy, przygotowywać raporty w tabelach i korzystać z interaktywnych dashboardów.;49;Średniozaawansowany;Kurs Excel - wykresy i wizualizacja danych;;1000;27 materiałów treningowych i 27 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/excel_wykresy_i_wizualizacja_danych.jpg
199;IT I OPROGRAMOWANIE;Kurs Linux dla web developera;Automatyzuj zadania, wdrażaj aplikacje na serwer, zapewniaj im bezpieczeństwo oraz stabilność. Rozwijaj aplikacje nie wykonując żmudnych czynności administracyjnych;49;Średniozaawansowany;Kurs Linux dla web developera;;1000;18 materiałów treningowych i 42 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/linux_dla_web_developera.jpg
200;IT I OPROGRAMOWANIE;Kurs Bezpieczeństwo aplikacji webowych;Dowiedz się jak rozpoznawać podatności, lokalizować ich przyczyny w kodzie źródłowym i chronić się przed najczęściej występującymi atakami;24;Średniozaawansowany;Kurs Bezpieczeństwo aplikacji webowych;;1000;21 materiałów treningowych i 28 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/bezpieczenstwo_aplikacji_webowych.jpg
201;IT I OPROGRAMOWANIE;Kurs Excel dla sprzedawców;Poznaj najważniejsze narzędzia i techniki pracy w Excelu. Naucz się sortować dane, tworzyć raporty i prezentować je w formie czytelnych wykresów;49;Średniozaawansowany;Kurs Excel dla sprzedawców;;1000;25 materiałów treningowych i 25 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_excel_dla_sprzedawcow.jpg
202;IT I OPROGRAMOWANIE;Administracja serwerem Linux;Skonfiguruj własny serwer i nim zarządzaj. Zainstaluj niezbędne usługi sieciowe: Apache, phpMyAdmin, bazę danych MySQL, serwer poczty i automatyzuj zadania;49;Zaawansowany;Administracja serwerem Linux;;1000;37 materiałów treningowych i 54 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_administracja_serwerem.jpg
203;IT I OPROGRAMOWANIE;Zaawansowana administracja systemem Linux;Poznaj pełne możliwości konsoli, naucz się zarządzania procesami, usługami i zadaniami ;49;Średniozaawansowany;Zaawansowana administracja systemem Linux;;1000;43 materiałów treningowych i 71 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_dla_sredniozaawansowanych.jpg
204;IT I OPROGRAMOWANIE;Kurs Linux dla programisty;Opanuj szeroki zestaw technik, które powinien znać każdy programista pracujący na Linuxie;49;Średniozaawansowany;Kurs Linux dla programisty;;1000;6 materiałów treningowych i 48 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_dla_programisty.jpg
205;IT I OPROGRAMOWANIE;Kurs Linux dla początkujących;Naucz się obsługi Linuxa w kilka godzin i zastąp nim swój obecny system!;39;Podstawowy;Kurs Linux dla początkujących;;1000;8 materiałów treningowych i 75 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_linux_dla_poczatkujacych.jpg
206;IT I OPROGRAMOWANIE;Kurs Docker - środowiska developerskie;Zobacz, jak łatwo możesz rozwijać i wdrażać aplikacje dzięki wykorzystaniu technologii Docker.;49;Podstawowy;Kurs Docker - środowiska developerskie;;1000;7 materiałów treningowych i 56 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/docker.jpg
207;IT I OPROGRAMOWANIE;Wdrażanie aplikacji na serwer;Dowiedz się jak wdrożyć aplikację na serwer, zadbać o jej bezpieczeństwo i stabilność działania;27;Średniozaawansowany;Wdrażanie aplikacji na serwer;;1000;10 materiałów treningowych i 70 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Wdrazanie_aplikacji_na_serwer.jpg
208;IT I OPROGRAMOWANIE;Jak zostać Full Stack Developerem;Wszystko czego potrzebujesz aby zostać Full-Stack Developerem;69;Średniozaawansowany;Jak zostać Full Stack Developerem;;1000;15 materiałów treningowych i 113 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Full_stack_developer.jpg
